Message,Prediction,Topic
"
X-Maildoor: WaflineMail 1.00r

{Kris Gleason} said
   ""Re: what to do with old 2""
      to <All> on 04-15-93  11:02
 KG> Yeah... keychains.  I have seen 64K simms with a silver 
 KG> keyring attached, big seller at the computer store.  I'm
 KG> sure you could find a bunch of geeks^H^H^H^H^H^H computer
 KG> science majors around that would buy them for $10.  Maybe
 KG> $15, if you're lucky.

    Untrue they would check JDR first and say 5.  That's how much
    they are worth AT MOST.  My guess is they are worth 1 buck
    a peice.

                Stephen Cyberman@Toz.Buffalo.NY.US
             Mangled on Sat  04-17-1993  at 20:26:37

... This tagline is a duplicate.   This tagline is a duplicate.
___ Blue Wave/QWK v2.12
                                                                     
",E,E
"



I am trying to build a circuit that detects the presence of video (Vs.
a blank screen) by monitoring the R,G, and B outputs of a graphics
card.  It should be able to detect the presence of a single pixel at
65 MHz, which would mean detecting a 15 NS pulse.  It should also be
able to tell the difference between a blank screen (about 300 mv)
and a dim screen (say, around 310 mv).  Oh yes, it also needs to be
cheap.  

My first circuit was a dismal failure.  I used 3 compariators; each
compariator had the + input going to one of the guns, the - input
went to a reference created by a voltage divider(a potentiometer).

The first problem was that the compariator was way too slow.. I
needed to get several pixels in a row before it would fire the
compariators, so I could have a whole screen full of text, but my
circuit would not detect it.   

The second problem is that there was more noise on the reference then
the smallest difference between a blank screen and a dim screen.  In
fact the difference between completely black and completely white is
only 650 mv.  I am wondering if I am going to have to amplify the
video signals to make this work.  

There are faster compariators, but they are expensive, and require 
split supplies.   I would need to replace my .49 quad compariator
with three 1.89 compariators, and create a whole new power supply
circuit.  

At this point, I think what I need is some sort of transistor
circuit.  Transistors are fast and cheap and should do the trick...

Unfortunately, I am way out of my league when It comes to designing
transistor circuits, so I am appealing to the net for help.  Any
ideas, tips, circuits, pointers, references, etc. would be greatly
appreciated.  

Oh yes, I only sample the output of this thing every second or so, so
I don't need a fast response time at all, however, I haven't found a
way to take advantage of that fact.

Thanks a lot for any help anybody might be able to give. Of course,
you will have my undying gratitude.


Steve Verity




-- 
..........>.........>........>......>...>...>..>..>..>..>.>.>.>>>>>>>>+ .   
Steve Verity                  +   +             ...Maxed on MIDI        + .
                                    +      verity@jack.sns.com      + ..   +
",E,E
"
Distribution: world
Message-ID: <1rmn0c$83v@morrow.stanford.edu>
NNTP-Posting-Host: nova1.stanford.edu

Hi all,

My skin is very dry in general. But the most serious part is located
from knees down. The skin there looks like segmented. The segmentation
actually happens beneath the skin. I would like to know if there is any
cure for this.

At the supermarkets or pharmacies, there are quite a lot of stuffs for
dry skins, but what to chose?

Thanks in advance for all advices and hints.

Reply by email preferred.

Alex


",E,M
"
NNTP-Posting-Host: w20-575-88.mit.edu

Spring has Sprung in Cambridge
  so it time for the monthly  Flea at MIT to start up.  

*********  $1  buyers discount with hardcopy of this notice ********

COMPUTERS - ELECTRONICS - HAM RADIO - COMPUTERS - ELECTRONICS

                  FLEA  all SUMMER at MIT
                    April 18th,  1993
                         9AM-2PM

Come to the city for a great flea - plenty of free parking.

        MIT's  electronics and ham radio flea will take 
	place on the third Sunday of each month this summer, 
	April thru October.
       
        There is tailgate space for over 400 sellers and
        free, off-street parking for >1000 cars!

        Buyers admission is $2  (you get $1 off if
        you're lucky enough to have a copy of our ad)
        and sellers spaces are $10.00-each at the gate.

        The flea will be held at the corner of Albany and
        Main streets in Cambridge; right in the Kendall
        Square area from 9AM to 2PM, with sellers set-up
        time starting at 7AM.  

	!! RAIN or SHINE !!  Have no fear of rain, a covered 
	tailgate area is available for all sellers (6'8"" clearance).

        Talk-in: 146.52 and W1XM/R-449.725/444.725 (PL 114.8/2A).

        Sponsors: MIT Electronics Research Society
                  MIT UHF Repeater Association (W1XM)
                  MIT Radio Society (W1MX)
		  Harvard Wireless Club (W1AF)

	For more info / advanced reservations 617 253 3776

********** $1  buyers discount with hard copy of this notice ************


*******************************************************************************
Steve Finberg			W1GSL			w1gsl@athena.mit.edu
PO Box 82 MIT Br 	  Cambridge MA  02139		    617 258 3754
*******************************************************************************
",E,E
"

Does anyone know of an FTP site where I might find public
domain software for the Motorola 68HC16 microprocessor?
I am looking for a basic interpreter/compilier or a 'C'
compiler.  Thanks in advance.
					Ed Murashie

------------------
Ed Murashie                     US Mail :  Beckman Instruments Inc.
phone: (714) 993-8895                      Diagnostic System Group 
fax:   (714) 961-3759                      200 S. Kraemer Blvd  W-361
Internet: murashiea@mail.beckman.com       Brea, Ca 92621  
",E,E
"

Thanks for the resposes as they were all good ideas and I am looking at using a
couple of the ideas. I recieved in the mail today the spec sheets on the mil.
spec version of Exar's XR-2240 timer/counter chip. It is stable down to -50 C
and sucks very little power. They show an application for a ultra-long time
delay (up to several years depending on the RC time constant). In this
application, they have two of them cascaded together. The reset and trigger
pins of both chips are tied together and the timebase of the second chip is
disabled. In this configuration, the output is high when the system is reset.
When triggered, the output goes low and stays that way for a total of 65,536 x
the timing cycle of the first chip. The total timing cycle of the two chips can
be programmed from To = 256 x R x C to 65,536 x R x C in 256 steps by selecting
any combination of the counter outputs to the timer output. The beauty of it
is, the timebase chip would only have to have a 100uF timing cap and a 391K
resistor for 39.1 seconds per timing cycle. So I can get a maximum of
2,562,457.6 seconds between timing cycles (39.1 x 65,536 or about 29 days !)
Of course, that's much more than I need (14 days). But the counter allows for
256 binary steps that can be selected for the output for the 'pellet puker'.
After the first 14 days and it trips, it would reset its self for the next 14
day timing cycle and so forth.

Power is still a problem though. A few ideas that you suggested was to bury the
electronics in a hole dug in the snow (as an insulator) and put the pellet
puker up on a tower above the estimated snow fall with a solar panel on it to
keep a charge on a lithium battery pack. I like that idea ;-) This thing has to
work for at least six weeks for three samples and the gas valves are 12 volts
to spit the pellets out onto the snow. Anyway, I ordered the XR-2240's to see
what I can do with them. Should be interesting (as long as I'm not the one that
has to go digging up the pellets in the middle of Antartica freezing my buns
off ;-)

Thanks again everyone...

-=-= Wes =-=-
",E,E
"
NNTP-Posting-Host: 129.89.7.4
Originator: hahn@csd4.csd.uwm.edu

From article <1993Apr22.233001.13436@vax.oxford.ac.uk>, by krishnas@vax.oxford.ac.uk:
> The best way of self injection is to use the right size needle
> and choose the correct spot. For Streptomycin, usually given intra
> muscularly, use a thin needle (23/24 guage) and select a spot on
> the upper, outer thigh (no major nerves or blood vessels there). 
> Clean the area with antiseptic before injection, and after. Make
> sure to inject deeply (a different kind of pain is felt when the
> needle enters the muscle - contrasted to the 'prick' when it 
> pierces the skin).
> 
> PS: Try to go to a doctor. Self-treatment and self-injection should
> be avoided as far as possible.
>  
The areas that are least likely to hurt are where you have a little 
fat.  I inject on my legs and gut, and prefer the gut.  I can stick
it in at a 90 degree angle, and barely feel it.  I'm not fat, just
have a little gut.  My legs however, are muscular, and I have to pinch
to get anything, and then I inject at about a 45 degree angle,and it
still hurts.  The rate of absorbtion differs for subcutaneous and  
muscular injections however--so if it's a daily thing it would be
best not to switch places every day to keep consistencey.  Although
some suggest switch legs or sides of the stomach for each shot, to prevent 
irritation.  When you clean the spot off with an alcohol prep, 
wait for it to dry somewhat, or you may get the alcohol in the
puncture, and of course, that doesn't feel good.  A way to prevent
irratation is to mark the spot that you injected.  A good way to
do this is use a little round bandage and put it over the 
spot.  This helps prevent you from injecting in the same spot,
and spacing the sites out accuartely (about 1 1/2 "" apart.)

This is from experience, so I hope it'll help you.  (I have
diabetes and have to take an injection every morning.)

			Later,
				David
-- 
David Hahn
University of Wisconsin : Milwaukee 
hahn@csd4.csd.uwm.edu
",E,M
"

In article <1qppr5INNaqa@dns1.NMSU.Edu> mcole@spock (COLE) writes:
>I would like to experiment with the INTEL 8051 family.  Does anyone out  
>there know of any good FTP sites that might have compiliers, assemblers,  
>etc.?

Well, it's not an FTP site, but I got an 800 number for Signetics BBS.

The Signetics BBS contain some pretty good items for the 8051.  I am
currently using the following files which I downloaded from them:

    ml-asm51.zip      MetaLink's 8051 family macro assembler
    bootstrp.zip      Hex file Load-and-Go using 8051 uart
                      (allows you to download your program into a RAM
                       and then execute from RAM.  Works great.  Tell
                       me if you want more details).
    tutor51.zip       TSR for 8051 feature help screens
    
They have lots of coding examples, assemblers, and misc. tools.

Signetics BBS numbers are:    (800) 451-6644
                              (408) 991-2406

Have fun,
-- 
Mont Pierce

+-------------------------------------------------------------------------+
| Ham Call: KM6WT             Internet:  mont@netcom.com                  |
|    bands: 80/40/20/15/10/2  IBM vnet:  mont@vnet.ibm.com                |
|    modes: cw,ssb,fm                                                     |
+-------------------------------------------------------------------------+
",E,E
"

Iridology is descendant from a 19th-century theory which mapped certain
diseases to sectors of the iris of the eye.  There's enough natural
variation in color that a skilled examiner can find indicators of
virtually any disease.

Modern scientists consider it to be complete bunk.
",M,M
"
Nntp-Posting-Host: aisun3.ai.uga.edu

(Disclaimer: I'm a sufferer, not a doctor.)

I'm not sure there's a really sharp distinction between allergic and
vasomotor rhinitis.  Basically, vasomotor rhinitis means your nose is
stuffy when it has no reason to be (not even an identifiable allergy).

Decongestants and steroid sprays work for vasomotor rhinitis.  Also,
I can get surprising relief from purely superficial measures such as
saline moisturizing spray and moisturizing gel.

-- 
:-  Michael A. Covington, Associate Research Scientist        :    *****
:-  Artificial Intelligence Programs      mcovingt@ai.uga.edu :  *********
:-  The University of Georgia              phone 706 542-0358 :   *  *  *
:-  Athens, Georgia 30602-7415 U.S.A.     amateur radio N4TMI :  ** *** **  <><
",M,M
"
Nntp-Posting-Host: goyt.csc.liv.ac.uk

Hi,

   I've just built a valve preamp and use a diode/capacitor
voltage multiplier to step the 12vAC supply voltage up to approx 
260vDV. As the load resistance increases, the RC constant decreases
and hence the output voltage drops. I need as high an output
voltage as possible. (about 260v).
  The circuit consists of seven voltage multiplier stages
(ie 14 diodes and 14 capacitors) each capacitor develops about 38v
across them, and I take the output from across seven capacitors=260v.
  Each capacitor is 100mfd at 68v.
 If I increase each of the capacitors rating (220-470mfd), that will
increase the RC constant, and hence alleviate some of the problem.
These capacitors are going to be a little expensive as I need 14 of
them, So:

1. What would happen if I connected a 470mfd at 400v capacitor in parallel 
with the output (and hence in parallel with the seven 100mfd capacitors)?
  Will it, as I assume, increase the C in circuit and hence increase
the RC time constant? If it does, and my output voltage becomes more
stable by doing this, then I will have killed two birds with one stone...
as I am experiencing some 50Hz ripple (and hence amp hum), and this new
capacitor will 'smooth' this out.

and
2. Can anyone recomend a suitable value for an inductor (choke) to
be placed in the output line of the power supply to filter out
the 50Hz mains hum. Lowest resistance possible !

  I've not got my preamp with me at the moment because it is TOO MUCH
of a distraction.... (I'm at university and I've got to get my 
dissertation finished in two weeks !!!!!!!) hence I'm mailing not
playing with my solderoing iron (it'll be cheaper too in the long
run... especially if 14 new large capacitors don't work as planned!)

Email please.... Can't always read the net.....

Thanks in advance..


Chris ;-)

  +====================================================================+
  |Name : Mr Chris Smith       |     Twang on that 'ole guitar !       |
  |Addrs: scst83@uk.ac.liv.csc |                                       |
  |Uni  : Liverpool University |Quest: To build more and more hardware |
  |Dgree: Computer Science     |                                       |
  +====================================================================+

 ""What ever the sun may be, it is certainly not a ball of flaming gas!""
  -- D.H. Lawrence.

 * All views expressed are my own, and reflect that of private thought. *
",E,E
"

>The father of a friend of mine is a police officer in West Virginia.  Not  
>only is his word as a skilled observer good in court, but his skill as an  
>observer has been tested to be more accurate than the radar gun in some  
>cases . . ..  No foolin!  He can guess a car's speed to within 2-3mph just  
>by watching it blow by - whether he's standing still or moving too!  (Yes,  

1) How was this testing done, and how many times?  (Calibrated speedometer?)

2) It's not the ""some cases"" that worry me, it's the ""other cases"" :-)

(eg: suboptimal viewing conditions; even the best subjective viewer can only
partial compensate for certain distortions and optical illusions).

",E,E
"

     banschbach@vms.ocom.okstate.edu (Marty Banschbach) writes:
[...]
B >  Medicine has not, and probalby never will be, practiced this way.  There
B >  has always been the use of conventional wisdom.  A very good example is
B >  kidney stones.  Conventional wisdom(because clinical trails have not been
B >  done to come up with an effective prevention), was that restricitng the
B >  intake of calcium and oxalates was the best way to prevent kidney stones
B >  from forming.  Clinical trials focused on drugs or ultrasonic blasts to
B >  breakdown the stone once it formed.  Through the recent New England J of
B >  Medicine article, we now know that conventional wisdom was wrong,
B >  increasing calcium intake is better at preventing stone formation than is
B >  restricting calcium intake.    
[...]
B >  Marty B.

 Marty, I personally wouldn't be so quick and take that NEJM article 
 on kidney stones as gospel. First of all, I would want to know who
 sponsored that study.
 I have seen too many ""nutrition"" bulletins over the years from
 local newspapers, magazines, to TV-guide, with disclaimers on the
 bottom informing us that this great health news was brought to us
 compliments of the Dairy Industries.
 There are of course numerous other interest groups now that thrive
 financially on the media hype created from the supposedly enormous 
 benefits of increasing one's calcium intake.

 Secondly, were ALL the kidney stones of the test subjects involved 
 in that project analysed for their chemical composition?  The study
 didn't say that, it only claimed that ""most kidney stones are large-
 ly calcium.""
 Perhaps it won't be long before another study comes up with the exact
 opposite findings. A curious phenomenon with researchers is that they
 are oftentimes just plain wrong. It wouldn't be the first time.
 
 Sodium/magnesium/calcium/phosphorus ratios are, in my opinion, still 
 the most reliable indicators for the cause, treatment, and prevention 
 of kidney stones.
 I, for one, will continue to recommend the most logical changes in
 one's diet or through supplementation to counteract or prevent kidney
 stones of either type; and they definitely won't include an INCREASE
 in calcium if the stones have been identified as being of the calcium
 type and people's chemical analysis confirms that they would benefit
 from a PHOSPHORUS-raising approach instead!

     Ron Roth
 =====================================================================
 --  Internet: rn.3228@rose.com  -  Rosenet: ron roth@rosehamilton  --

 * A stone on the ground is better than a stone in the body.
---
   RoseReader 2.10  P003228 Entered at [ROSEHAMILTON]
   RoseMail 2.10 : Usenet: Rose Media - Hamilton (416) 575-5363
",M,M
"
Distribution: world
Message-ID: <16APR199323531467@rosie.uh.edu>
NNTP-Posting-Host: rosie.uh.edu
Keywords: Motorola, FPU, 68882, 68030, 33/50 MHz, problems (FPU exception)
News-Software: VAX/VMS VNEWS 1.41    

I just installed a Motorola XC68882RC50 FPU in an Amiga A2630 board (25 MHz
68030 + 68882 with capability to clock the FPU separately).  Previously
a MC68882RC25 was installed and everything was working perfectly.  Now the
systems displays a yellow screen (indicating a exception) when it check for
the presence/type of FPU.  When I reinstall an MC68882RC25 the system works
fine, but with the XC68882 even at 25 MHz it does not work.  The designer
of the board mentioned that putting a pullup resistor on data_strobe (470 Ohm)
might help, but that didn't change anything.  Does anybody have some
suggestions what I could do?  Does this look like a CPU-FPU communications
problem or is the particular chip dead (it is a pull, not new)?
Moreover, the place I bought it from is sending me an XC68882RC33.  I thought
that the 68882RC33 were labeled MC not XC (for not finalized mask design). 
Are there any MC68882RC33?

Thanks
	Christian 

",E,E
"
Message-ID: <16BBDE8FF.OPDBS@vm.cc.latech.edu>
NNTP-Posting-Host: vm.cc.latech.edu
X-Newsreader: NNR/VM S_1.3.2

 
Sci med people:
 
Can I sell my TENS unit or does it have to be sold by a physician or
other liscened person?
 
Doug
opdbs@vm.cc.latech.edu
 
 
",E,M
"

In article <12426@sun13.scri.fsu.edu> jac@ds8.scri.fsu.edu (Jim Carr) writes:
>[...]
>I agree.  I come at this from nuclear physics, where one often discusses 
>particle-hole excitations and certain reactions have the effect of 
>applying an annihilation operator and creating a hole, and it is a 
>subtle question.  The longer one works with them, the more real they 
>become.  There are also quasi-particles, which raise the same sort 
>of question about how ""real"" the entity is.  The phenomenon is most 
>certainly a real one. 

OK, I've asked this before, and with a new thread on these lines, I
ask this again:

1: If a large hole current is run thru a resistor, will there be
   I^2 * R cooling instead of heating?

2: Can anyone design an amplifier that preferentially amplifies
   hole currents over normal electron currents?

3: what semiconductor materials have the highest ratio of
   hole mobility to electron mobility? (please quote actual
   test samples rather than estimates based on theory. Also,
   don't be limited to semiconductors: consider also insulators,
   resistors, dielectrics, piezo-electrics, conductors,
   magnets (metal, ceramic), magnetostrictives, etc).

NOTES:

   to summarize, this thread has so far stated that the only area
   where holes are not detectable is the vacuum. That is, hole
   particles only exist in the presence of matter.
   Previous threads have stated that holes only exist in certain
   semi-conductors. The question that naturally arises is if
   the hole currents inside a semi-conductor vanish at the point
   where the semiconductor is joined to a conductor (say, copper).
   I don't want a theoretical discussion here about whether
   holes could exist inside metal conductors, rather I ask for
   an experimental discussion on how to amplify and detect such
   currents *if* they exist.
   Also note that I have cross-posted this to sci.electronics
   since this is now becoming an electronic discussion.

Thanx,
Eric.

----
 ET   ""A Force of Nature""
----
",E,E
